Name,State,Expected Price,Actual Price,Price Residual
Buttermilk Mountain,Colorado,124.42639522693598,264.0,139.573604773064
Powder Mountain,Utah,95.19174589455899,219.0,123.80825410544101
Sugar Bowl,California,139.08369330757492,244.0,104.91630669242508
Eldora Mountain,Colorado,116.69371704905952,199.0,82.30628295094048
Ski Apache,New Mexico,120.70319143968312,195.0,74.29680856031688
Homewood Mountain Resort,California,85.71931967347646,159.0,73.28068032652354
Windham Mountain,New York,153.36898475783136,225.0,71.63101524216864
Granby Ranch,Colorado,92.98027029279699,164.0,71.01972970720301
Aspen Highlands,Colorado,194.54572542078256,264.0,69.45427457921744
Diamond Peak,Nevada,113.23764159271151,180.0,66.76235840728849
June Mountain,California,135.70008911660324,199.0,63.29991088339676
Alta,Utah,136.13308694590145,199.0,62.866913054098546
Stowe,Vermont,178.12799298620843,239.0,60.872007013791574
Arapahoe Basin,Colorado,133.7833531736987,189.0,55.216646826301286
Kirkwood,California,133.1240951945519,187.0,53.8759048054481
China Peak,California,116.44960016403219,169.0,52.55039983596781
Mountain High: West,California,97.14098463653771,149.0,51.85901536346229
Snowriver: Black River Basin,Michigan,67.1608555217027,119.0,51.8391444782973
Snowshoe Mountain,West Virginia,117.83234116096774,169.0,51.167658839032256
Mt. Brighton,Michigan,66.88718425090046,117.0,50.11281574909954
Big Bear: Snow Valley,California,120.12198285047424,169.0,48.87801714952576
Mountain High: East,California,101.22156781287225,149.0,47.77843218712775
Snowriver: Jackson Creek Summit,Michigan,71.52564260530085,119.0,47.474357394699155
Ski Cooper,Colorado,66.18902896953915,110.0,43.81097103046085
Black Mountain – Jackson,New Hampshire,56.68685664314692,99.0,42.31314335685308
Sugarbush,Vermont,201.49793502697523,243.75,42.25206497302477
The Homestead Resort,Michigan,57.404549341869185,99.0,41.595450658130815
Saskadena Six,Vermont,68.7913950605182,109.0,40.2086049394818
Keystone,Colorado,252.75877659321569,292.0,39.241223406784314
Monarch,Colorado,100.08937602621022,139.0,38.91062397378978
Crystal Mountain (Washington),Washington,160.48054538807503,199.0,38.51945461192497
Boyne Mountain,Michigan,71.89777596220968,110.0,38.10222403779032
Northstar California Resort,California,232.62593201893642,270.0,37.374067981063575
Grand Targhee,Wyoming,132.70148764691072,170.0,37.29851235308928
Big Boulder,Pennsylvania,69.75799158479167,105.0,35.24200841520833
