name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude
49 Degrees North,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,84.0,3924,5774,1850,42.0,Washington,2325.0,301,CMR Lands,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,7,No,48.3013648092357,-117.562926562625
Abenaki,https://www.skiresort.info/ski-resort/abenaki/,20.0,591,820,230,1.0,New Hampshire,18.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,43.6093782653616,-71.2299884117107
Adventure Mountain,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,7.0,1237,1362,125,0.2,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,46.7724464400728,-89.0902901496086
Afton Alps,https://www.skiresort.info/ski-resort/afton-alps/,89.0,919,1270,351,5.0,Minnesota,300.0,60,Vail Resorts,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,2,2,19,No,44.8576205018608,-92.788473835517
Alpine Valley (Michigan),https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,61.0,961,1211,249,4.0,Michigan,100.0,20,Wisconsin Resorts,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,2,2,9,No,42.6536253997723,-83.523108876399
Alpine Valley (Ohio),https://www.skiresort.info/ski-resort/alpine-valley-ohio/,59.0,1115,1329,213,2.0,Ohio,72.0,120,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5,No,41.5268343596115,-81.2600027141888
Alpine Valley (Wisconsin),https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,78.0,1017,1362,344,2.0,Wisconsin,90.0,80,Wisconsin Resorts,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,2,6,15,No,42.7356907071581,-88.4283824972845
Alta,https://www.skiresort.info/ski-resort/alta/,199.0,8530,10499,1969,44.0,Utah,2614.0,540,Independent,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,2,11,No,40.579942027823,-111.619986768103
Alta Sierra,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,75.0,6686,7087,400,1.0,California,80.0,80,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No,35.71129003695,-118.560117456341
Alyeska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,169.0,269,2756,2487,39.0,Alaska,1610.0,650,Independent,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,6,No,60.9703423974469,-149.097432276847
Andes Tower Hills,https://www.skiresort.info/ski-resort/andes-tower-hills/,60.0,1329,1621,292,2.0,Minnesota,35.0,55,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,6,No,45.850690999254,-95.6312052063786
Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,125.0,8599,10676,2077,47.0,New Mexico,560.0,210,Independent,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,8,No,36.3865151311332,-105.272091015304
Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,69.0,8399,9400,1001,13.0,Wyoming,225.0,200,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,No,44.6115668434155,-107.514621362812
Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,50.0,7100,7999,899,6.0,Oregon,1100.0,300,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No,44.9628890567817,-118.233556922865
Appalachian Ski Mountain,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,79.0,3632,3999,367,3.0,North Carolina,27.0,27,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,6,No,36.1743348914397,-81.6625247152887
Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,189.0,10781,12434,1654,32.0,Colorado,1428.0,350,Alterra,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,1,2,9,No,39.6340336078039,-105.870415777636
Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,55.0,2500,3898,1398,16.0,Alaska,320.0,250,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No,61.2466015908083,-149.532587690714
Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,127.0,9199,11499,2300,23.0,Arizona,777.0,260,Mountain Capital Partners,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,2,8,No,35.3304395329149,-111.705536396305
